"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,6,"Joshua","Josh"
6,7,"Judges","Judg"
7,8,"Ruth","Ruth"
8,9,"I Samuel","1Sam"
9,10,"II Samuel","2Sam"
10,11,"I Kings","1Kgs"
11,12,"II Kings","2Kgs"
12,14,"I Chronicles","1Chr"
13,15,"Ezra","Ezra"
14,16,"Nehemiah","Neh"
15,17,"Esther","Esth"
16,18,"Job","Job"
17,89,"Psalms","Ps"
18,20,"Proverbs","Prov"
19,21,"Ecclesiastes","Eccl"
20,22,"Song of Solomon","Song"
21,23,"Isaiah","Isa"
22,24,"Jeremiah","Jer"
23,25,"Lamentations","Lam"
24,26,"Ezekiel","Ezek"
25,27,"Daniel","Dan"
26,28,"Hosea","Hos"
27,29,"Joel","Joel"
28,30,"Amos","Amos"
29,31,"Obadiah","Obad"
30,32,"Jonah","Jonah"
31,33,"Micah","Mic"
32,34,"Nahum","Nah"
33,35,"Habakkuk","Hab"
34,36,"Zephaniah","Zeph"
35,37,"Haggai","Hag"
36,38,"Zechariah","Zech"
37,39,"Malachi","Mal"
38,40,"Matthew","Matt"
39,41,"Mark","Mark"
40,42,"Luke","Luke"
41,43,"John","John"
42,44,"Acts","Acts"
43,45,"Romans","Rom"
44,46,"I Corinthians","1Cor"
45,47,"II Corinthians","2Cor"
46,48,"Galatians","Gal"
47,49,"Ephesians","Eph"
48,50,"Philippians","Phil"
49,51,"Colossians","Col"
50,52,"I Thessalonians","1Thess"
51,53,"II Thessalonians","2Thess"
52,54,"I Timothy","1Tim"
53,55,"II Timothy","2Tim"
54,56,"Titus","Titus"
55,57,"Philemon","Phlm"
56,58,"Hebrews","Heb"
57,59,"James","Jas"
58,60,"I Peter","1Pet"
59,61,"II Peter","2Pet"
60,62,"I John","1John"
61,63,"II John","2John"
62,64,"III John","3John"
63,65,"Jude","Jude"
64,66,"Revelation of John","Rev"
