"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deu"
5,6,"Joshua","Jos"
6,7,"Judges","Jdg"
7,8,"Ruth","Rth"
8,9,"1 Samuel","1Sa"
9,10,"2 Samuel","2Sa"
10,11,"1 Kings","1Ki"
11,12,"2 Kings","2Ki"
12,13,"1 Chronicles","1Ch"
13,14,"2 Chronicles","2Ch"
14,15,"Ezra","Ezr"
15,16,"Nehemiah","Neh"
16,69,"Tobit","Tob"
17,67,"Judith","Jdt"
18,17,"Esther","Est"
19,18,"Job","Job"
20,19,"Psalm","Psa"
21,20,"Proverbs","Pro"
22,21,"Ecclesiastes","Ecc"
23,22,"Song of Solomon","Son"
24,68,"Wisdom","Wis"
25,70,"Sirach","Sir"
26,23,"Isaiah","Isa"
27,24,"Jeremiah","Jer"
28,25,"Lamentations","Lam"
29,0,"n.a","n.a"
30,71,"Baruch","Bar"
31,26,"Ezekiel","Eze"
32,27,"Daniel","Dan"
33,28,"Hosea","Hos"
34,29,"Joel","Joe"
35,30,"Amos","Amo"
36,31,"Obadiah","Oba"
37,32,"Jonah","Jon"
38,33,"Micah","Mic"
39,34,"Nahum","Nah"
40,35,"Habakkuk","Hab"
41,36,"Zephaniah","Zep"
42,37,"Haggai","Hag"
43,38,"Zechariah","Zec"
44,39,"Malachi","Mal"
45,40,"Matthew","Mat"
46,41,"Mark","Mar"
47,42,"Luke","Luk"
48,43,"John","Joh"
49,44,"Acts","Act"
50,59,"James","Jas"
51,60,"1 Peter","1Pe"
52,61,"2 Peter","2Pe"
53,62,"1 John","1Jn"
54,63,"2 John","2Jn"
55,64,"3 John","3Jn"
56,65,"Jude","Jud"
57,45,"Romans","Rom"
58,46,"1 Corinthians","1Co"
59,47,"2 Corinthians","2Co"
60,48,"Galatians","Gal"
61,49,"Ephesians","Eph"
62,50,"Philippians","Php"
63,51,"Colossians","Col"
64,52,"1 Thessalonians","1Th"
65,53,"2 Thessalonians","2Th"
66,54,"1 Timothy","1Ti"
67,55,"2 Timothy","2Ti"
68,56,"Titus","Tit"
69,57,"Philemon","Phm"
70,58,"Hebrews","Heb"
71,66,"Revelation","Rev"
