"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Levitikus","Lev"
3,4,"Numeri","Num"
4,5,"Deuteronomium","Deu"
5,6,"Jozue","Joz"
6,7,"Soudců","Soud"
7,8,"Rút","Rut"
8,9,"1.Samuelova","1Sam"
9,10,"2.Samuelova","2Sam"
10,11,"1.Královská","1Kr"
11,12,"2.Královská","2Kr"
12,13,"1.Paralipomenon","1Pa"
13,14,"2. Paralipomenon","2Pa"
14,15,"Ezdráš","Ezd"
15,16,"Nehemjáš","Neh"
16,17,"Kniha Ester","Kni"
17,18,"Jób","Job"
18,19,"Žalmy","Žal"
19,20,"Přísloví","Pří"
20,21,"Kazatel","Kaz"
21,22,"Píseň","Pis"
22,23,"Izaiáš","Iza"
23,24,"Jeremiáš","Jer"
24,25,"Pláč","Pla"
25,26,"Ezechiel","Eze"
26,27,"Daniel","Daniel"
27,28,"Ozeáš","Oz"
28,29,"Jóel","Jo"
29,30,"Ámos","Am"
30,31,"Abdijáš","Abd"
31,32,"Jonáš","Jo"
32,33,"Micheáš","Mic"
33,34,"Nahum","Nah"
34,35,"Abakuk","Aba"
35,36,"Sofonjáš","Sof"
36,37,"Ageus","Ageus"
37,38,"Zacharjáš","Zach"
38,39,"Malachiáš","Mal"
39,40,"Matouš","Mat"
40,41,"Marek","Marek"
41,42,"Lukáš","Luk"
42,43,"Jan","Ja"
43,44,"Skutky","Sk"
44,45,"Římanům","Řím"
45,46,"1. Korintským","1Kor"
46,47,"2. Korintským","2Kor"
47,48,"Galatským","Gal"
48,49,"Efezským","Ef"
49,50,"Filipským","Fil"
50,51,"Koloským","Kol"
51,52,"1. Tesalonickým","1Tes"
52,53,"2. Tesalonickým","2Tes"
53,54,"1. Timoteovi","1Tim"
54,55,"2. Timoteovi","2Tim"
55,56,"Titovi","Tit"
56,57,"Filemonovi","Fil"
57,58,"Židům","Ži"
58,59,"Jakubův","Jak"
59,60,"1. Petrův","1Pe"
60,61,"2. Petrův","2.Pe"
61,62,"1. Janova","1Ja"
62,63,"2. Janův","2Jan"
63,64,"3. Janův","3.Ja"
64,65,"Judův","Jud"
65,66,"Zjevení","Zje"
