"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Genesis","Gen"
2,3,"Exodus","Exo"
3,4,"Levitikus","Lev"
4,5,"Numeri","Num"
5,6,"Deuteronomium","Deu"
6,7,"Kniha Jozue","Kni"
7,8,"Kniha Soudců","Kni"
8,9,"Kniha Rút","Kni"
9,10,"1. Kniha Samuelova","1Kn"
10,11,"2. Kniha Samuelova","2Kn"
11,12,"1. Kniha Královská","1Kn"
12,13,"2. Kniha Královská","2Kn"
13,14,"1. Paralipomenon","1Pa"
14,15,"2. Paralipomenon","2Pa"
15,16,"Kniha Ezdráš","Kni"
16,17,"Kniha Nehemjáš","Kni"
17,18,"Kniha Ester","Kni"
18,19,"Kniha Jób","Kni"
19,20,"Žalmy","Žal"
20,21,"Přísloví","Pří"
21,22,"Kazatel","Kaz"
22,23,"Píseň","Pís"
23,24,"Izaiáš","Iza"
24,25,"Jeremiáš","Jer"
25,26,"Pláč","Plá"
26,27,"Ezechiel","Eze"
27,28,"Daniel","Dan"
28,29,"Ozeáš","Oze"
29,30,"Joel","Joe"
30,31,"Amos","Amo"
31,32,"Abdiáš","Abd"
32,33,"Jonáš","Jon"
33,34,"Michaeáš","Mic"
34,35,"Nahum","Nah"
35,36,"Abakuk","Aba"
36,37,"Sofoniáš","Sof"
37,38,"Ageus","Age"
38,39,"Zachariáš","Zac"
39,40,"Malachiáš","Mal"
40,41,"Matouš","Mat"
41,42,"Marek","Mar"
42,43,"Lukáš","Luk"
43,44,"Jan","Jan"
44,45,"Skutky","Sku"
45,46,"Římanům","Řím"
46,47,"1. Korintským","1Ko"
47,48,"2. Korintským","2Ko"
48,49,"Galatským","Gal"
49,50,"Efeským","Efe"
50,51,"Filipským","Fil"
51,52,"Koloským","Kol"
52,53,"1. Tesalonickým","1Te"
53,54,"2. Tesalonickým","2Te"
54,55,"1. Timoteus","1Ti"
55,56,"2. Timoteus","2Ti"
56,57,"Titus","Tit"
57,58,"Filemon","Fil"
58,59,"Židům","Žid"
59,60,"Jakub","Jak"
60,61,"1. Petr","1Pe"
61,62,"2. Petr","2Pe"
62,63,"1. Jan","1Ja"
63,64,"2. Jan","2Ja"
64,65,"3. Jan","3Ja"
65,66,"Juda","Jud"
