"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deu"
5,6,"Joshua","Jos"
6,7,"Judges","Jdg"
7,8,"Ruth","Rth"
8,9,"1 Samuel","1Sa"
9,10,"2 Samuel","2Sa"
10,11,"1 Kings","1Ki"
11,12,"2 Kings","2Ki"
12,13,"1 Chronicles","1Ch"
13,14,"2 Chronicles","2Ch"
14,15,"Ezra","Ezr"
15,16,"Nehemiah","Neh"
16,69,"Tobit","Tob"
17,67,"Judith","Jdt"
18,17,"Esther","Est"
19,18,"Job","Job"
20,19,"Psalm","Psa"
21,20,"Proverbs","Pro"
22,21,"Ecclesiastes","Ecc"
23,22,"Song of Solomon","Son"
24,68,"Wisdom","Wis"
25,70,"Sirach","Sir"
26,23,"Isaiah","Isa"
27,24,"Jeremiah","Jer"
28,25,"Lamentations","Lam"
29,71,"Baruch","Bar"
30,26,"Ezekiel","Eze"
31,27,"Daniel","Dan"
32,28,"Hosea","Hos"
33,29,"Joel","Joe"
34,30,"Amos","Amo"
35,31,"Obadiah","Oba"
36,32,"Jonah","Jon"
37,33,"Micah","Mic"
38,34,"Nahum","Nah"
39,35,"Habakkuk","Hab"
40,36,"Zephaniah","Zep"
41,37,"Haggai","Hag"
42,38,"Zechariah","Zec"
43,39,"Malachi","Mal"
44,40,"Matthew","Mat"
45,41,"Mark","Mar"
46,42,"Luke","Luk"
47,43,"John","Joh"
48,44,"Acts","Act"
49,45,"Romans","Rom"
50,46,"1 Corinthians","1Co"
51,47,"2 Corinthians","2Co"
52,48,"Galatians","Gal"
53,49,"Ephesians","Eph"
54,50,"Philippians","Php"
55,51,"Colossians","Col"
56,52,"1 Thessalonians","1Th"
57,53,"2 Thessalonians","2Th"
58,54,"1 Timothy","1Ti"
59,55,"2 Timothy","2Ti"
60,56,"Titus","Tit"
61,57,"Philemon","Phm"
62,58,"Hebrews","Heb"
63,59,"James","Jas"
64,60,"1 Peter","1Pe"
65,61,"2 Peter","2Pe"
66,62,"1 John","1Jn"
67,63,"2 John","2Jn"
68,64,"3 John","3Jn"
69,65,"Jude","Jud"
70,66,"Revelation","Rev"
