"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,6,"Joshua","Josh"
6,7,"Judges","Judg"
7,8,"Ruth","Ruth"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Kings","1Kgs"
11,12,"2 Kings","2Kgs"
12,13,"1 Chronicles","1Chr"
13,14,"2 Chronicles","1Chr"
14,15,"Ezra","Ezra"
15,16,"Nehemiah","Neh"
16,17,"Esther","Esth"
17,18,"Job","Job"
18,19,"Psalm","Ps"
19,20,"Proverbs","Prov"
20,21,"Ecclesiastes","Eccl"
21,22,"Song of Solomon","Song"
22,23,"Isaiah","Isa"
23,24,"Jeremiah","Jer"
24,25,"Lamentations","Lam"
25,26,"Ezekiel","Ezek"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joel"
29,30,"Amos","Amos"
30,31,"Obadiah","Obad"
31,32,"Jonah","Jonah"
32,33,"Micah","Mic"
33,34,"Nahum","Nah"
34,35,"Habakkuk","Hab"
35,36,"Zephaniah","Zeph"
36,37,"Haggai","Hag"
37,38,"Zechariah","Zech"
38,39,"Malachi","Mal"
39,40,"Matthew","Matt"
40,41,"Mark","Mark"
41,42,"Luke","Luke"
42,43,"John","John"
43,44,"Acts","Acts"
44,45,"Romans","Rom"
45,46,"1 Corinthians","1Cor"
46,47,"2 Corinthians","2Cor"
47,48,"Galatians","Gal"
48,49,"Ephesians","Eph"
49,50,"Philippians","Phil"
50,51,"Colossians","Col"
51,52,"1 Thessalonians","1Thess"
52,53,"2 Thessalonians","2Thess"
53,54,"1 Timothy","1Tim"
54,55,"2 Timothy","2Tim"
55,56,"Titus","Titus"
56,57,"Philemon","Phlm"
57,58,"Hebrews","Heb"
58,59,"James","Jas"
59,60,"1 Peter","1Pet"
60,61,"2 Peter","2Pet"
61,62,"1 John","1John"
62,63,"2 John","2John"
63,64,"3 John","3John"
64,65,"Jude","Jude"
65,66,"Revelation","Rev"
66,67,"Judith","Jdt"
67,68,"Wisdom","Wis"
68,69,"Tobit","Tob"
69,71,"Baruch","Bar"
70,73,"2 Maccabees","2Macc"
71,74,"AddDan","AddDan"
72,79,"Letter of Jeremiah","EpJer"
73,80,"1 Esdras","1Esd"
74,83,"Psalms of Solomon","PssSol"
