"Index","BookNumber","BookName","BookShortName"
0,40,"Matthäus","Mt"
1,41,"Markus","Mk"
2,42,"Lukas","Lk"
3,43,"Johannes","Joh"
4,44,"Apostelgeschichte","Apg"
5,45,"Römer","Röm"
6,46,"1 Korinther","1.Kor"
7,47,"2 Korinther","2.Kor"
8,48,"Galater","Gal"
9,49,"Epheser","Eph"
10,50,"Philipper","Phil"
11,51,"Kolosser","Kol"
12,52,"1 Thessalonicher","1.Thes"
13,53,"2 Thessalonicher","2.Thes"
14,54,"1 Timotheus","1Tim"
15,55,"2 Timotheus","2Tim"
16,56,"Titus","Tit"
17,57,"Philemon","Phim"
18,58,"Hebräer","Hebr"
19,59,"Jakobus","Jak"
20,60,"1 Petrus","1Petr"
21,61,"2 Petrus","2Petr"
22,62,"1 Johannes","1.Jo"
23,63,"2 Johannes","2.Jo"
24,64,"3 Johannes","3.Jo"
25,65,"Judas","Jud"
26,66,"Offenbarung","Offb"
