"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,6,"Joshua","Josh"
6,7,"Judges","Judg"
7,8,"Ruth","Ruth"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Kings","1Kgs"
11,12,"2 Kings","2Kgs"
12,13,"1 Chronicles","1Chr"
13,14,"2 Chronicles","2Chr"
14,15,"Ezra","Ezra"
15,16,"Nehemiah","Neh"
16,17,"Esther","Esth"
17,18,"Job","Job"
18,19,"Psalm","Ps"
19,20,"Proverbs","Prov"
20,21,"Ecclesiastes","Eccl"
21,22,"Song of Solomon","Song"
22,23,"Isaiah","Isa"
23,24,"Jeremiah","Jer"
24,25,"Lamentations","Lam"
25,26,"Ezekiel","Ezek"
26,27,"Daniel","Dan"
27,28,"Hosea","Hos"
28,29,"Joel","Joel"
29,30,"Amos","Amos"
30,31,"Obadiah","Obad"
31,32,"Jonah","Jonah"
32,33,"Micah","Mic"
33,34,"Nahum","Nah"
34,35,"Habakkuk","Hab"
35,36,"Zephaniah","Zeph"
36,37,"Haggai","Hag"
37,38,"Zechariah","Zech"
38,39,"Malachi","Mal"
39,69,"Tobit","Tob"
40,67,"Judit","Jdt"
41,75,"AddEsth","AddEsth"
42,68,"Wisdom","Wis"
43,70,"Sirach","Sir"
44,71,"Baruch","Bar"
45,74,"AddDan","AddDan"
46,87,"Susanna","Sus"
47,87,"Bel and the Dragon","Bel"
48,72,"1 Maccabees","1Macc"
49,73,"2 Maccabees","2Macc"
50,80,"1 Esdras","1Esd"
51,76,"Manassse","PrMan"
52,81,"2 Esdras","2Esd"
53,40,"Matthew","Matt"
54,41,"Mark","Mark"
55,42,"Luke","Luke"
56,43,"John","John"
57,44,"Acts","Acts"
58,45,"Romans","Rom"
59,46,"1 Corinthians","1Cor"
60,47,"2 Corinthians","2Cor"
61,48,"Galatians","Gal"
62,49,"Ephesians","Eph"
63,50,"Philippians","Phil"
64,51,"Colossians","Col"
65,52,"1 Thessalonians","1Thess"
66,53,"2 Thessalonians","2Thess"
67,54,"1 Timothy","1Tim"
68,55,"2 Timothy","2Tim"
69,56,"Titus","Titus"
70,57,"Philemon","Phlm"
71,58,"Hebrews","Heb"
72,59,"James","Jas"
73,60,"1 Peter","1Pet"
74,61,"2 Peter","2Pet"
75,62,"1 John","1John"
76,63,"2 John","2John"
77,64,"3 John","3John"
78,65,"Jude","Jude"
79,66,"Revelation","Rev"
