"Index","BookNumber","BookName","BookShortName"
0,1,"1 Nephi","1NE"
1,2,"2 Nephi","2NE"
2,3,"Jakob","JAC"
3,4,"Enos","ENO"
4,5,"Jarom","JAR"
5,7,"Omni","OMN"
6,8,"Mosia","MSH"
7,9,"Alma","ALM"
8,10,"Helaman","HEL"
9,11,"3 Nephi","3NE"
10,12,"4 Nephi","4NE"
11,13,"Buch Mormon","MRM"
12,14,"Buch Ether","ETH"
13,15,"Buch Moroni","MNI"
14,16,"Revelation","DNC"
15,17,"OFFICIAL DECLARATION-1","OD1"
16,18,"OFFICIAL DECLARATION-2","OD2"
17,19,"Moses","MOS"
18,20,"Chaldeans","ABR"
19,21,"JSM","JSM"
20,22,"JSH","JSH"
21,23,"AOF","AOF"
