"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,1,"1 Nephi","1NE",22,1,"1:1",618,"1:20|2:24|3:31|4:38|5:22|6:6|7:22|8:38|9:6|10:22|11:36|12:23|13:42|14:30|15:36|16:39|17:55|18:25|19:24|20:22|21:26|22:31"
1,2,"2 Nephi","2NE",33,0,"",779,"1:32|2:30|3:25|4:35|5:34|6:18|7:11|8:25|9:54|10:25|11:8|12:22|13:26|14:6|15:30|16:13|17:25|18:22|19:21|20:34|21:16|22:6|23:22|24:32|25:30|26:33|27:35|28:32|29:14|30:18|31:21|32:9|33:15"
2,3,"Jakob","JAC",7,0,"",203,"1:19|2:35|3:14|4:18|5:77|6:13|7:27"
3,4,"Enos","ENO",1,0,"",27,"1:27"
4,5,"Jarom","JAR",1,0,"",15,"1:15"
5,7,"Omni","OMN",1,0,"",30,"1:30"
6,8,"Mosia","MSH",29,0,"",785,"1:18|2:41|3:27|4:30|5:15|6:7|7:33|8:21|9:19|10:22|11:29|12:37|13:35|14:12|15:31|16:15|17:20|18:35|19:29|20:26|21:36|22:16|23:39|24:25|25:24|26:39|27:37|28:20|29:47"
7,9,"Alma","ALM",63,0,"",1975,"1:33|2:38|3:27|4:20|5:62|6:8|7:27|8:32|9:34|10:32|11:46|12:37|13:31|14:29|15:19|16:21|17:39|18:43|19:36|20:30|21:23|22:35|23:18|24:30|25:17|26:37|27:30|28:14|29:17|30:60|31:38|32:43|33:23|34:41|35:16|36:30|37:47|38:15|39:19|40:26|41:15|42:31|43:54|44:24|45:24|46:41|47:36|48:25|49:30|50:40|51:37|52:40|53:23|54:24|55:35|56:57|57:36|58:41|59:13|60:36|61:21|62:52|63:17"
8,10,"Helaman","HEL",16,0,"",497,"1:34|2:14|3:37|4:26|5:52|6:41|7:29|8:28|9:41|10:19|11:38|12:26|13:39|14:31|15:17|16:25"
9,11,"3 Nephi","3NE",30,0,"",785,"1:30|2:19|3:26|4:33|5:26|6:30|7:26|8:25|9:22|10:19|11:41|12:48|13:34|14:27|15:24|16:20|17:25|18:39|19:36|20:46|21:29|22:17|23:14|24:18|25:6|26:21|27:33|28:40|29:9|30:2"
10,12,"4 Nephi","4NE",1,0,"",49,"1:49"
11,13,"Buch Mormon","MRM",9,0,"",227,"1:19|2:29|3:22|4:23|5:24|6:22|7:10|8:41|9:37"
12,14,"Buch Ether","ETH",15,0,"",433,"1:43|2:25|3:28|4:19|5:6|6:30|7:27|8:26|9:35|10:34|11:23|12:41|13:31|14:31|15:34"
13,15,"Buch Moroni","MNI",10,0,"",163,"1:4|2:3|3:4|4:3|5:2|6:9|7:48|8:30|9:26|10:34"
14,16,"Revelation","DNC",138,0,"",3654,"1:39|2:3|3:20|4:7|5:35|6:37|7:8|8:12|9:14|10:70|11:30|12:9|13:1|14:11|15:6|16:6|17:9|18:47|19:41|20:84|21:12|22:4|23:7|24:19|25:16|26:2|27:18|28:16|29:50|30:11|31:13|32:5|33:18|34:12|35:27|36:8|37:4|38:42|39:24|40:3|41:12|42:93|43:35|44:6|45:75|46:33|47:4|48:6|49:28|50:46|51:20|52:44|53:7|54:10|55:6|56:20|57:16|58:65|59:24|60:17|61:39|62:9|63:66|64:43|65:6|66:13|67:14|68:35|69:8|70:18|71:11|72:26|73:6|74:7|75:36|76:119|77:15|78:22|79:4|80:5|81:7|82:24|83:6|84:120|85:12|86:11|87:8|88:141|89:21|90:37|91:6|92:2|93:53|94:17|95:17|96:9|97:28|98:48|99:8|100:17|101:101|102:34|103:40|104:86|105:41|106:8|107:100|108:8|109:80|110:16|111:11|112:34|113:10|114:2|115:19|116:1|117:16|118:6|119:7|120:1|121:46|122:9|123:17|124:145|125:4|126:3|127:12|128:25|129:9|130:23|131:8|132:66|133:74|134:12|135:7|136:42|137:10|138:60"
15,17,"OFFICIAL DECLARATION-1","OD1",1,0,"",25,"1:25"
16,18,"OFFICIAL DECLARATION-2","OD2",1,0,"",20,"1:20"
17,19,"Moses","MOS",8,0,"",356,"1:42|2:31|3:25|4:32|5:59|6:68|7:69|8:30"
18,20,"Chaldeans","ABR",5,0,"",136,"1:31|2:25|3:28|4:31|5:21"
19,21,"JSM","JSM",1,0,"",55,"1:55"
20,22,"JSH","JSH",1,0,"",75,"1:75"
21,23,"AOF","AOF",1,0,"",13,"1:13"
