"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,32,"Jonah","Jonah"
6,40,"Matthew","Matt"
7,41,"Mark","Mark"
8,42,"Luke","Luke"
9,43,"John","John"
10,44,"Acts","Acts"
11,45,"Romans","Rom"
12,46,"1 Corinthians","1Cor"
13,47,"2 Corinthians","2Cor"
14,48,"Galatians","Gal"
15,49,"Ephesians","Eph"
16,50,"Philippians","Phil"
17,51,"Colossians","Col"
18,52,"1 Thessalonians","1Thess"
19,53,"2 Thessalonians","2Thess"
20,54,"1 Timothy","1Tim"
21,55,"2 Timothy","2Tim"
22,56,"Titus","Titus"
23,57,"Philemon","Phlm"
24,58,"Hebrews","Heb"
25,59,"James","Jas"
26,60,"1 Peter","1Pet"
27,61,"2 Peter","2Pet"
28,62,"1 John","1John"
29,63,"2 John","2John"
30,64,"3 John","3John"
31,65,"Jude","Jude"
32,66,"Revelation","Rev"
