"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,1,"Genesis","Gen",50,0,"",1532,"1:31|2:25|3:24|4:26|5:32|6:22|7:24|8:22|9:28|10:32|11:32|12:20|13:18|14:24|15:21|16:16|17:27|18:33|19:38|20:18|21:34|22:24|23:20|24:67|25:34|26:35|27:46|28:22|29:35|30:43|31:55|32:32|33:20|34:31|35:29|36:43|37:36|38:30|39:23|40:23|41:57|42:38|43:34|44:34|45:28|46:34|47:31|48:22|49:33|50:26"
1,2,"Exodus","Exod",40,0,"",1213,"1:22|2:25|3:22|4:31|5:23|6:30|7:25|8:32|9:35|10:29|11:10|12:51|13:22|14:31|15:27|16:36|17:16|18:27|19:25|20:26|21:36|22:31|23:33|24:18|25:40|26:37|27:21|28:43|29:46|30:38|31:18|32:35|33:23|34:35|35:35|36:38|37:29|38:31|39:43|40:38"
2,3,"Leviticus","Lev",27,0,"",858,"1:17|2:16|3:17|4:35|5:19|6:30|7:38|8:36|9:24|10:20|11:47|12:8|13:59|14:57|15:33|16:34|17:16|18:30|19:37|20:27|21:24|22:33|23:44|24:23|25:55|26:46|27:33"
3,4,"Numbers","Num",36,0,"",1288,"1:54|2:34|3:51|4:49|5:31|6:27|7:89|8:26|9:23|10:36|11:35|12:16|13:33|14:45|15:41|16:50|17:13|18:32|19:22|20:29|21:35|22:41|23:30|24:25|25:18|26:65|27:23|28:31|29:40|30:16|31:54|32:42|33:56|34:29|35:34|36:13"
4,5,"Deuteronomy","Deut",34,0,"",959,"1:46|2:37|3:29|4:49|5:33|6:25|7:26|8:20|9:29|10:22|11:32|12:32|13:18|14:29|15:23|16:22|17:20|18:22|19:21|20:20|21:23|22:30|23:25|24:22|25:19|26:19|27:26|28:68|29:29|30:20|31:30|32:52|33:29|34:12"
5,32,"Jonah","Jonah",4,0,"",48,"1:17|2:10|3:10|4:11"
6,40,"Matthew","Matt",28,0,"",1070,"1:25|2:23|3:17|4:25|5:47|6:34|7:29|8:34|9:38|10:42|11:30|12:50|13:58|14:36|15:39|16:28|17:27|18:35|19:30|20:34|21:46|22:46|23:39|24:51|25:46|26:75|27:66|28:20"
7,41,"Mark","Mark",16,0,"",676,"1:45|2:26|3:35|4:41|5:43|6:56|7:37|8:38|9:50|10:52|11:33|12:44|13:37|14:72|15:47|16:20"
8,42,"Luke","Luke",24,0,"",1150,"1:80|2:52|3:38|4:44|5:39|6:49|7:50|8:56|9:62|10:42|11:54|12:59|13:35|14:35|15:32|16:31|17:36|18:43|19:48|20:47|21:38|22:71|23:56|24:53"
9,43,"John","John",21,0,"",879,"1:51|2:25|3:36|4:54|5:47|6:71|7:53|8:59|9:41|10:42|11:57|12:50|13:38|14:31|15:27|16:33|17:26|18:40|19:42|20:31|21:25"
10,44,"Acts","Acts",28,0,"",1007,"1:26|2:47|3:26|4:37|5:42|6:15|7:60|8:40|9:43|10:48|11:30|12:25|13:52|14:28|15:41|16:40|17:34|18:28|19:41|20:38|21:40|22:30|23:35|24:27|25:27|26:32|27:44|28:31"
11,45,"Romans","Rom",16,0,"",432,"1:31|2:29|3:31|4:25|5:21|6:23|7:25|8:39|9:33|10:21|11:36|12:21|13:14|14:23|15:33|16:27"
12,46,"1 Corinthians","1Cor",16,0,"",437,"1:31|2:16|3:22|4:21|5:13|6:20|7:40|8:13|9:27|10:34|11:34|12:31|13:13|14:40|15:58|16:24"
13,47,"2 Corinthians","2Cor",13,0,"",257,"1:24|2:17|3:18|4:18|5:21|6:18|7:16|8:24|9:15|10:18|11:33|12:21|13:14"
14,48,"Galatians","Gal",6,0,"",148,"1:24|2:21|3:29|4:31|5:25|6:18"
15,49,"Ephesians","Eph",6,0,"",155,"1:23|2:22|3:21|4:32|5:33|6:24"
16,50,"Philippians","Phil",4,0,"",104,"1:30|2:30|3:21|4:23"
17,51,"Colossians","Col",4,0,"",95,"1:29|2:23|3:25|4:18"
18,52,"1 Thessalonians","1Thess",5,0,"",89,"1:10|2:20|3:13|4:18|5:28"
19,53,"2 Thessalonians","2Thess",3,0,"",47,"1:12|2:17|3:18"
20,54,"1 Timothy","1Tim",6,0,"",113,"1:20|2:15|3:16|4:16|5:25|6:21"
21,55,"2 Timothy","2Tim",4,0,"",83,"1:18|2:26|3:17|4:22"
22,56,"Titus","Titus",3,0,"",46,"1:16|2:15|3:15"
23,57,"Philemon","Phlm",1,0,"",25,"1:25"
24,58,"Hebrews","Heb",13,0,"",302,"1:14|2:18|3:19|4:16|5:14|6:20|7:28|8:13|9:28|10:39|11:39|12:29|13:25"
25,59,"James","Jas",5,0,"",108,"1:27|2:26|3:18|4:17|5:20"
26,60,"1 Peter","1Pet",5,0,"",105,"1:25|2:25|3:22|4:19|5:14"
27,61,"2 Peter","2Pet",3,0,"",61,"1:21|2:22|3:18"
28,62,"1 John","1John",5,0,"",105,"1:10|2:29|3:24|4:21|5:21"
29,63,"2 John","2John",1,0,"",13,"1:13"
30,64,"3 John","3John",1,0,"",14,"1:14"
31,65,"Jude","Jude",1,0,"",25,"1:25"
32,66,"Revelation","Rev",22,0,"",403,"1:20|2:29|3:22|4:11|5:14|6:17|7:17|8:13|9:21|10:11|11:19|12:17|13:18|14:20|15:8|16:21|17:18|18:24|19:21|20:15|21:26|22:21"
