"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Leviticus","Lev"
3,12,"2 Kings","2Ki"
4,13,"1 Chronicles","1Ch"
5,18,"Job","Job"
6,20,"Proverbs","Pro"
7,21,"Ecclesiastes","Ecc"
8,22,"Song of Solomon","Son"
9,23,"Isaiah","Isa"
10,40,"Matthew","Mat"
11,4,"Numbers","Num"
12,5,"Deuteronomy","Deu"
13,6,"Joshua","Jos"
14,7,"Judges","Jdg"
15,8,"Ruth","Rth"
16,9,"1 Samuel","1Sa"
17,10,"2 Samuel","2Sa"
18,11,"1 Kings","1Ki"
19,14,"2 Chronicles","2Ch"
20,15,"Ezra","Ezr"
21,16,"Nehemiah","Neh"
22,17,"Esther","Est"
23,19,"Psalm","Psa"
24,24,"Jeremiah","Jer"
25,25,"Lamentations","Lam"
26,26,"Ezekiel","Eze"
27,27,"Daniel","Dan"
28,28,"Hosea","Hos"
29,29,"Joel","Joe"
30,30,"Amos","Amo"
31,31,"Obadiah","Oba"
32,32,"Jonah","Jon"
33,33,"Micah","Mic"
34,34,"Nahum","Nah"
35,35,"Habakkuk","Hab"
36,36,"Zephaniah","Zep"
37,37,"Haggai","Hag"
38,38,"Zechariah","Zec"
39,39,"Malachi","Mal"
40,41,"Mark","Mar"
41,42,"Luke","Luk"
42,44,"Acts","Act"
43,70,"Sirach","Sir"
44,43,"John","Joh"
45,45,"Romans","Rom"
46,46,"1 Corinthians","1Co"
47,47,"2 Corinthians","2Co"
48,48,"Galatians","Gal"
49,49,"Ephesians","Eph"
50,50,"Philippians","Php"
51,51,"Colossians","Col"
52,52,"1 Thessalonians","1Th"
53,53,"2 Thessalonians","2Th"
54,54,"1 Timothy","1Ti"
55,55,"2 Timothy","2Ti"
56,56,"Titus","Tit"
57,57,"Philemon","Phm"
58,58,"Hebrews","Heb"
59,59,"James","Jas"
60,60,"1 Peter","1Pe"
61,61,"2 Peter","2Pe"
62,62,"1 John","1Jn"
63,63,"2 John","2Jn"
64,64,"3 John","3Jn"
65,65,"Jude","Jud"
66,66,"Revelation","Rev"
67,67,"Judith","Jdt"
68,68,"Wisdom","Wis"
69,72,"1 Maccabees","1Macc"
70,73,"2 Maccabees","2Macc"
71,69,"Tobit","Tob"
72,71,"Baruch","Bar"
