"Index","BookNumber","BookName","BookShortName"
0,1,"Genèse","Gn"
1,2,"Exode","Ex"
2,3,"Lévitique","Lv"
3,4,"Nombres","Nb"
4,5,"Deutéronome","Dt"
5,6,"Josué","Jos"
6,7,"Juges","Jg"
7,8,"Ruth","Rt"
8,9,"1 Samuel","1S"
9,10,"2 Samuel","2S"
10,11,"1 Rois","1R"
11,12,"2 Rois","2R"
12,13,"1 Chroniques","1Ch"
13,14,"2 Chroniques","2Ch"
14,15,"Esdras","Esd"
15,16,"Néhémie","Ne"
16,17,"Esther","Est"
17,18,"Job","Jb"
18,19,"Psaume","Ps"
19,20,"Proverbes","Pr"
20,21,"Ecclésiaste","Qo"
21,22,"Cantique des Cantiqu","Ct"
22,23,"Ésaïe","23"
23,24,"Jérémie","Jr"
24,25,"Lamentations","Lm"
25,26,"Ézéchiel","Ez"
26,27,"Daniel","Dn"
27,28,"Osée","Os"
28,29,"Joël","Jl"
29,30,"Amos","Am"
30,31,"Abdias","Ab"
31,32,"Jonas","Jon"
32,33,"Michée","Mi"
33,34,"Nahum","Na"
34,35,"Habacuc","Ha"
35,36,"Sophonie","So"
36,37,"Aggée","Ag"
37,38,"Zacharie","Za"
38,39,"Malachie","Mal"
39,40,"Matthieu","Mt"
40,41,"Marc","Mc"
41,42,"Luc","Lc"
42,43,"Jean","Jn"
43,44,"Actes","Ac"
44,45,"Romains","Rm"
45,46,"1 Corinthiens","1Co"
46,47,"2 Corinthiens","2Co"
47,48,"Galates","Ga"
48,49,"Éphésiens","Ep"
49,50,"Philippiens","Ph"
50,51,"Colossiens","Col"
51,52,"1 Thesaloniciens","1Th"
52,53,"2 Thesaloniciens","2Th"
53,54,"1 Timothée","1Tm"
54,55,"2 Timothée","2Tm"
55,56,"Tite","Tt"
56,57,"Philémon","Phm"
57,58,"Hébreux","He"
58,59,"Jaques","Jc"
59,60,"1 Pierre","1P"
60,61,"2 Pierre","2P"
61,62,"1 Jean","1Jn"
62,63,"2 Jean","2Jn"
63,64,"3 Jean","3Jn"
64,65,"Jude","Jude"
65,66,"Apocalypse","Ap"
