"Index","BookNumber","BookName","BookShortName"
0,1,"Genèse","Gn"
1,2,"Exode","Ex"
2,3,"Lévitique","Lv"
3,4,"Nombres","Nb"
4,5,"Deutéronome","Dt"
5,6,"Josué","Jos"
6,7,"Juges","Jg"
7,8,"Ruth","Rt"
8,9,"1 Samuel","1S"
9,10,"2 Samuel","2S"
10,11,"1 Rois","1R"
11,12,"2 Rois","2R"
12,13,"1 Chroniques","1Ch"
13,14,"2 Chroniques","2Ch"
14,15,"Esdras","Esd"
15,16,"Néhémie","Ne"
16,69,"Tobie","Tb"
17,67,"Judith","Jdt"
18,17,"Esther","Est"
19,72,"1 Maccabées","1M"
20,73,"2 Maccabées ","2M"
21,18,"Job","Jb"
22,19,"Psaume","Ps"
23,20,"Proverbes","Pr"
24,21,"Ecclésiaste","Qo"
25,22,"Cantique","Ct"
26,68,"Sagesse","Sg"
27,70,"Ecclésiastique","Si"
28,23,"Isaïe","23"
29,24,"Jérémie","Jr"
30,25,"Lamentations","Lm"
31,71,"Baruch","Ba"
32,26,"Ezéchiel","Ez"
33,27,"Daniel","Dn"
34,28,"Osée","Os"
35,29,"Joël","Jl"
36,30,"Amos","Am"
37,31,"Abdias","Ab"
38,32,"Jonas","Jon"
39,33,"Michée","Mi"
40,34,"Nahum","Na"
41,35,"Habaquq","Ha"
42,36,"Sophonie","So"
43,37,"Aggée","Ag"
44,38,"Zacharie","Za"
45,39,"Malachie","Mal"
46,40,"Matthieu","Mt"
47,41,"Marc","Mc"
48,42,"Luc","Lc"
49,43,"Jean","Jn"
50,44,"Actes","Ac"
51,45,"Romains","Rm"
52,46,"1 Corinthiens","1Co"
53,47,"2 Corinthiens","2Co"
54,48,"Galates","Ga"
55,49,"Ephésiens","Ep"
56,50,"Philippiens","Ph"
57,51,"Colossiens","Col"
58,52,"1 Théssaloniciens","1Th"
59,53,"2 Théssaloniciens","2Th"
60,54,"1 Thimothées","1Tm"
61,55,"2 Thimothées","2Tm"
62,56,"Tite","Tt"
63,57,"Philémon","Phm"
64,58,"Hébreux","He"
65,59,"Jacques","Jc"
66,60,"1 Pierre","1P"
67,61,"2 Pierre","2P"
68,62,"1 Jean","1Jn"
69,63,"2 Jean","2Jn"
70,64,"3 Jean","3Jn"
71,65,"Jude","Jude"
72,66,"Apocalypse","Ap"
