"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exo"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deu"
5,6,"Joshua","Jos"
6,7,"Judges","Jdg"
7,9,"1 Samuel","1Sa"
8,10,"2 Samuel","2Sa"
9,11,"1 Kings","1Ki"
10,12,"2 Kings","2Ki"
11,23,"Isaiah","Isa"
12,24,"Jeremiah","Jer"
13,26,"Ezekiel","Eze"
14,28,"Hosea","Hos"
15,29,"Joel","Joe"
16,30,"Amos","Amo"
17,31,"Obadiah","Oba"
18,32,"Jonah","Jon"
19,33,"Micah","Mic"
20,34,"Nahum","Nah"
21,35,"Habakkuk","Hab"
22,36,"Zephaniah","Zep"
23,37,"Haggai","Hag"
24,38,"Zechariah","Zec"
25,39,"Malachi","Mal"
26,19,"Psalm","Psa"
27,18,"Job","Job"
28,20,"Proverbs","Pro"
29,8,"Ruth","Rth"
30,22,"Song of Solomon","Son"
31,21,"Ecclesiastes","Ecc"
32,25,"Lamentations","Lam"
33,17,"Esther","Est"
34,27,"Daniel","Dan"
35,15,"Ezra","Ezr"
36,16,"Nehemiah","Neh"
37,13,"1 Chronicles","1Ch"
38,14,"2 Chronicles","2Ch"
