"Index","BookNumber","BookName","BookShortName"
0,1,"Genèse","Gn"
1,2,"Exode","Ex"
2,3,"Lévitique","Lv"
3,4,"Nombres","Nb"
4,5,"Deutéronome","Dt"
5,6,"Josué","Jos"
6,7,"Juges","Jg"
7,8,"Ruth","Rt"
8,9,"1 Samuel","1S"
9,10,"2 Samuel","2S"
10,11,"1 Rois","1R"
11,12,"2 Rois","2R"
12,13,"1 Chroniques","1Ch"
13,14,"2 Chroniques","2Ch"
14,15,"Esdras","Esd"
15,16,"Néhémie","Ne"
16,69,"Tobie","Tb"
17,67,"Judith","Jdt"
18,17,"Esther","Est"
19,72,"1 Maccabées","1M"
20,73,"2 Maccabées","2M"
21,18,"Job","Jb"
22,19,"Psaume","Ps"
23,20,"Proverbes","Pr"
24,21,"Ecclésiaste","Qo"
25,22,"Cantique des Cantiqu","Ct"
26,68,"Sagesse","Sg"
27,70,"Ecclésiastique","Si"
28,30,"Amos","Am"
29,24,"Jérémie","Jr"
30,25,"Lamentations","Lm"
31,71,"Baruch","Ba"
32,26,"Ézéchiel","Ez"
33,27,"Daniel","Dn"
34,28,"Osée","Os"
35,29,"Joël","Jl"
36,31,"Abdias","Ab"
37,32,"Jonas","Jon"
38,33,"Michée","Mi"
39,34,"Nahum","Na"
40,35,"Habacuc","Ha"
41,36,"Sophonie","So"
42,37,"Aggée","Ag"
43,38,"Zacharie","Za"
44,39,"Malachie","Mal"
45,40,"Matthieu","Mt"
46,41,"Marc","Mc"
47,42,"Luc","Lc"
48,43,"Jean","Jn"
49,44,"Actes","Ac"
50,45,"Romains","Rm"
51,46,"1 Corinthiens","1Co"
52,47,"2 Corinthiens","2Co"
53,48,"Galates","Ga"
54,49,"Éphésiens","Ep"
55,50,"Philippiens","Ph"
56,51,"Colossiens","Col"
57,52,"1 Thesaloniciens","1Th"
58,53,"2 Thesaloniciens","2Th"
59,54,"1 Timothée","1Tm"
60,55,"2 Timothée","2Tm"
61,56,"Tite","Tt"
62,57,"Philémon","Phm"
63,58,"Hébreux","He"
64,59,"Jaques","Jc"
65,60,"1 Pierre","1P"
66,61,"2 Pierre","2P"
67,62,"1 Jean","1Jn"
68,63,"2 Jean","2Jn"
69,64,"3 Jean","3Jn"
70,65,"Jude","Jude"
71,66,"Apocalypse","Ap"
