"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"exo","exo"
2,3,"lev","lev"
3,4,"num","num"
4,5,"deu","deu"
5,6,"jos","jos"
6,7,"jdg","jdg"
7,8,"rut","rut"
8,9,"1sa","1sa"
9,10,"2sa","2sa"
10,11,"1ki","1ki"
11,12,"2ki","2ki"
12,13,"1ch","1ch"
13,14,"2ch","2ch"
14,15,"ezr","ezr"
15,16,"neh","neh"
16,17,"est","est"
17,18,"job","job"
18,19,"psa","psa"
19,20,"pro","pro"
20,21,"ecc","ecc"
21,22,"sol","sol"
22,23,"isa","isa"
23,24,"jer","jer"
24,25,"lam","lam"
25,26,"eze","eze"
26,27,"dan","dan"
27,28,"hos","hos"
28,29,"joe","joe"
29,30,"amo","amo"
30,31,"oba","oba"
31,32,"jon","jon"
32,33,"mic","mic"
33,34,"nah","nah"
34,35,"hab","hab"
35,36,"zep","zep"
36,37,"hag","hag"
37,38,"zec","zec"
38,39,"mal","mal"
39,40,"Matthäus","Mat"
40,41,"mar","mar"
41,42,"luk","luk"
42,43,"joh","joh"
43,44,"act","act"
44,45,"rom","rom"
45,46,"1co","1co"
46,47,"2co","2co"
47,48,"gal","gal"
48,49,"eph","eph"
49,50,"phi","phi"
50,51,"kol","kol"
51,52,"1th","1th"
52,53,"2th","2th"
53,54,"1ti","1ti"
54,55,"2ti","2ti"
55,56,"tit","tit"
56,57,"phm","phm"
57,58,"heb","heb"
58,59,"jak","jak"
59,60,"1pe","1pe"
60,61,"2pe","2pe"
61,62,"1jo","1jo"
62,63,"2jo","2jo"
63,64,"3jo","3jo"
64,65,"jud","jud"
65,66,"rev","rev"
