"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,9,"1 Samuel","1Sam"
8,10,"2 Samuel","2Sam"
9,11,"1 Könige","1Kö"
10,12,"2 Könige","2Kö"
11,19,"Psalm","Ps"
12,23,"Jesaja","Jes"
13,24,"Jeremia","Jer"
14,25,"Klagelieder","Kla"
15,26,"Hesekiel","Hes"
16,27,"Daniel","Dan"
17,28,"Hosea","Hos"
18,29,"Joel","Joe"
19,30,"Amos","Am"
20,31,"Obadja","Ob"
21,32,"Jona","Jon"
22,33,"Micha","Mi"
23,34,"Nahum","Nah"
24,35,"Habakuk","Hab"
25,36,"Zephanja","Zeph"
26,37,"Haggai","Hag"
27,38,"Sacharja","Sach"
28,39,"Maleachi","Mal"
29,40,"Matthäus","Mt"
30,41,"Markus","Mk"
31,42,"Lukas","Lk"
32,43,"Johannes","Joh"
33,44,"Apostelgeschichte","Apg"
34,45,"Römer","Röm"
35,46,"1 Korinther","1.Kor"
36,47,"2 Korinther","2.Kor"
37,48,"Galater","Gal"
38,49,"Epheser","Eph"
39,50,"Philipper","Phil"
40,51,"Kolosser","Kol"
41,52,"1 Thessalonicher","1.Thes"
42,53,"2 Thessalonicher","2.Thes"
43,54,"1 Timotheus","1Tim"
44,55,"2 Timotheus","2Tim"
45,56,"Titus","Tit"
46,57,"Philemon","Phi"
47,58,"Hebräer","Hebr"
48,59,"Jakobus","Jak"
49,60,"1 Petrus","1Petr"
50,61,"2 Petrus","2Petr"
51,62,"1 Johannes","1.Jo"
52,63,"2 Johannes","2.Jo"
53,64,"3 Johannes","3.Jo"
54,65,"Judas","Jud"
55,66,"Offenbarung","Offb"
