"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,40,"Matthew","Mat",28,141,"1:2|2:4|3:2|4:4|5:9|6:6|7:8|8:6|9:7|10:5|11:3|12:7|13:10|14:4|15:4|16:5|17:3|18:5|19:4|20:3|21:6|22:5|23:2|24:4|25:3|26:8|27:8|28:4",1061,"1:25|2:23|3:17|4:25|5:47|6:33|7:29|8:34|9:38|10:42|11:30|12:49|13:63|14:36|15:38|16:27|17:25|18:35|19:30|20:32|21:46|22:44|23:39|24:51|25:42|26:75|27:66|28:20"
1,41,"Mark","Mar",16,74,"1:4|2:3|3:5|4:5|5:2|6:5|7:3|8:5|9:6|10:5|11:5|12:7|13:2|14:9|15:6|16:2",673,"1:45|2:28|3:35|4:41|5:43|6:56|7:36|8:38|9:48|10:52|11:32|12:44|13:37|14:72|15:46|16:20"
2,42,"Luke","Luk",24,131,"1:7|2:4|3:3|4:4|5:5|6:7|7:5|8:7|9:11|10:5|11:7|12:5|13:6|14:4|15:2|16:2|17:5|18:6|19:5|20:5|21:6|22:10|23:6|24:4",1149,"1:80|2:52|3:38|4:44|5:39|6:49|7:50|8:56|9:61|10:42|11:54|12:59|13:35|14:35|15:32|16:31|17:36|18:43|19:48|20:47|21:38|22:71|23:56|24:53"
3,43,"John","Joh",21,66,"1:4|2:3|3:2|4:2|5:3|6:4|7:3|8:5|9:3|10:3|11:2|12:6|13:4|14:2|15:3|16:3|17:1|18:3|19:4|20:3|21:3",878,"1:51|2:24|3:36|4:54|5:47|6:71|7:53|8:59|9:41|10:42|11:57|12:50|13:38|14:31|15:27|16:33|17:26|18:40|19:42|20:31|21:25"
4,44,"Acts","Act",28,83,"1:3|2:3|3:2|4:3|5:4|6:2|7:2|8:3|9:4|10:3|11:2|12:3|13:3|14:2|15:4|16:5|17:3|18:3|19:4|20:4|21:3|22:3|23:2|24:3|25:3|26:1|27:3|28:3",1001,"1:26|2:47|3:26|4:36|5:42|6:15|7:60|8:39|9:43|10:48|11:30|12:25|13:52|14:27|15:41|16:40|17:33|18:28|19:40|20:38|21:40|22:30|23:35|24:27|25:27|26:32|27:44|28:30"
5,45,"Romans","Rom",16,35,"1:3|2:2|3:3|4:2|5:2|6:1|7:2|8:1|9:3|10:2|11:3|12:2|13:3|14:2|15:3|16:1",431,"1:32|2:29|3:31|4:25|5:21|6:23|7:24|8:39|9:33|10:21|11:36|12:21|13:14|14:23|15:33|16:26"
6,46,"1 Corinthians","1Co",16,26,"1:1|2:1|3:1|4:1|5:1|6:2|7:2|8:1|9:2|10:2|11:2|12:1|13:1|14:2|15:4|16:2",437,"1:31|2:16|3:23|4:21|5:13|6:20|7:40|8:13|9:27|10:33|11:34|12:31|13:13|14:40|15:58|16:24"
7,47,"2 Corinthians","2Co",13,19,"1:2|4:2|5:2|6:2|8:2|9:1|10:2|11:2|12:3|13:1",256,"1:24|2:17|3:18|4:18|5:21|6:18|7:16|8:24|9:15|10:18|11:33|12:21|13:13"
8,48,"Galatians","Gal",6,14,"1:3|2:2|3:3|4:2|5:2|6:2",149,"1:24|2:21|3:29|4:31|5:26|6:18"
9,49,"Ephesians","Eph",6,13,"1:2|2:2|3:2|4:3|5:1|6:3",155,"1:23|2:22|3:21|4:32|5:33|6:24"
10,50,"Philippians","Php",4,13,"1:4|2:3|3:3|4:3",104,"1:30|2:30|3:21|4:23"
11,51,"Colossians","Col",4,12,"1:4|2:2|3:4|4:2",95,"1:29|2:23|3:25|4:18"
12,52,"1 Thessalonians","1Th",5,11,"1:2|2:3|3:1|4:2|5:3",89,"1:10|2:20|3:13|4:18|5:28"
13,53,"2 Thessalonians","2Th",3,8,"1:3|2:2|3:3",47,"1:12|2:17|3:18"
14,54,"1 Timothy","1Ti",6,20,"1:3|2:2|3:3|4:3|5:4|6:5",113,"1:20|2:15|3:16|4:16|5:25|6:21"
15,55,"2 Timothy","2Ti",4,10,"1:3|2:2|3:2|4:3",83,"1:18|2:26|3:17|4:22"
16,56,"Titus","Tit",3,7,"1:3|2:2|3:2",46,"1:16|2:15|3:15"
17,57,"Philemon","Phm",1,3,"1:3",25,"1:25"
18,58,"Hebrews","Heb",13,27,"1:2|2:2|3:2|4:2|5:1|6:1|7:2|8:1|9:4|10:2|11:3|12:2|13:3",302,"1:14|2:18|3:19|4:16|5:14|6:20|7:28|8:13|9:28|10:39|11:40|12:29|13:24"
19,59,"James","Jas",5,14,"1:4|2:2|3:2|4:2|5:4",108,"1:27|2:26|3:18|4:17|5:20"
20,60,"1 Peter","1Pe",5,12,"1:3|2:3|3:2|4:2|5:2",105,"1:25|2:25|3:22|4:19|5:14"
21,61,"2 Peter","2Pe",3,7,"1:3|2:1|3:3",61,"1:21|2:22|3:18"
22,62,"1 John","1Jn",5,13,"1:2|2:3|3:2|4:2|5:4",105,"1:10|2:29|3:24|4:21|5:21"
23,63,"2 John","2Jn",1,2,"1:2",13,"1:13"
24,64,"3 John","3Jn",1,4,"1:4",15,"1:15"
25,65,"Jude","Jud",1,4,"1:4",25,"1:25"
26,66,"Revelation","Rev",22,41,"1:4|2:4|3:3|4:1|5:1|6:1|7:1|8:1|9:2|10:1|11:2|12:1|13:2|14:3|15:1|16:2|17:1|18:1|19:2|20:3|21:2|22:2",402,"1:20|2:29|3:22|4:11|5:14|6:17|7:14|8:13|9:21|10:11|11:19|12:18|13:18|14:20|15:8|16:21|17:18|18:24|19:21|20:15|21:27|22:21"
