"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,9,"1 Samuel","1Sa"
2,10,"2 Samuel","2Sa"
3,13,"1 Chronicles","1Ch"
4,15,"Ezra","Ezr"
5,19,"Psalm","Psa"
6,26,"Ezekiel","Eze"
7,40,"Matthew","Mat"
8,2,"Exodus","Exo"
9,3,"Leviticus","Lev"
10,4,"Numbers","Num"
11,5,"Deuteronomy","Deu"
12,6,"Joshua","Jos"
13,7,"Judges","Jdg"
14,8,"Ruth","Rth"
15,11,"1 Kings","1Ki"
16,12,"2 Kings","2Ki"
17,14,"2 Chronicles","2Ch"
18,16,"Nehemiah","Neh"
19,17,"Esther","Est"
20,18,"Job","Job"
21,20,"Proverbs","Pro"
22,21,"Ecclesiastes","Ecc"
23,22,"Song of Solomon","Son"
24,23,"Isaiah","Isa"
25,24,"Jeremiah","Jer"
26,25,"Lamentations","Lam"
27,27,"Daniel","Dan"
28,28,"Hosea","Hos"
29,29,"Joel","Joe"
30,30,"Amos","Amo"
31,31,"Obadiah","Oba"
32,32,"Jonah","Jon"
33,33,"Micah","Mic"
34,34,"Nahum","Nah"
35,35,"Habakkuk","Hab"
36,36,"Zephaniah","Zep"
37,37,"Haggai","Hag"
38,38,"Zechariah","Zec"
39,39,"Malachi","Mal"
40,41,"Mark","Mar"
41,42,"Luke","Luk"
42,43,"John","Joh"
43,44,"Acts","Act"
44,58,"Hebrews","Heb"
45,45,"Romans","Rom"
46,46,"1 Corinthians","1Co"
47,47,"2 Corinthians","2Co"
48,48,"Galatians","Gal"
49,49,"Ephesians","Eph"
50,50,"Philippians","Php"
51,51,"Colossians","Col"
52,52,"1 Thessalonians","1Th"
53,53,"2 Thessalonians","2Th"
54,54,"1 Timothy","1Ti"
55,55,"2 Timothy","2Ti"
56,56,"Titus","Tit"
57,57,"Philemon","Phm"
58,59,"James","Jas"
59,60,"1 Peter","1Pe"
60,61,"2 Peter","2Pe"
61,62,"1 John","1Jn"
62,63,"2 John","2Jn"
63,64,"3 John","3Jn"
64,65,"Jude","Jud"
65,66,"Revelation","Rev"
