"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,16,"Nehemia","Neh",3,0,"",47,"5:6|6:6|7:35"
1,40,"Matthäus","Mt",10,0,"",267,"5:34|6:32|7:18|8:34|9:38|10:21|11:24|25:9|26:14|27:43"
2,41,"Markus","Mk",16,0,"",597,"1:44|2:28|3:33|4:41|5:43|6:34|7:37|8:38|9:50|10:52|11:33|12:38|13:14|14:45|15:47|16:20"
3,42,"Lukas","Lk",17,0,"",753,"1:80|2:52|3:38|4:44|5:39|6:49|7:50|8:55|9:62|10:30|14:27|15:32|16:24|17:34|18:43|19:48|20:46"
4,43,"Johannes","Joh",15,0,"",547,"5:3|6:70|7:52|8:48|9:40|10:42|11:47|12:47|13:28|14:31|15:27|16:33|17:26|18:40|19:13"
5,45,"Römer","Röm",10,0,"",157,"6:1|7:25|8:16|9:33|10:21|11:24|12:14|13:14|14:5|16:4"
6,46,"1 Korinther","1Kor",14,0,"",217,"1:14|4:11|5:11|6:1|7:24|8:5|9:18|10:22|11:17|12:13|13:12|14:8|15:48|16:13"
7,47,"2 Korinther","2Kor",11,1,"5:1",181,"1:17|2:17|3:18|4:10|5:20|6:18|7:16|8:24|9:7|12:21|13:13"
8,48,"Galater","Gal",6,0,"",77,"1:3|2:14|3:9|4:23|5:10|6:18"
9,49,"Epheser","Eph",6,0,"",115,"1:23|2:20|3:13|4:32|5:16|6:11"
10,50,"Philipper","Phil",3,0,"",32,"2:5|3:21|4:6"
11,51,"Kolosser","Kol",4,0,"",42,"1:20|2:4|3:8|4:10"
12,52,"1 Thessalonicher","1Thes",1,0,"",7,"5:7"
13,53,"2 Thessalonicher","2Thes",3,0,"",28,"1:12|2:4|3:12"
14,54,"1 Timotheus","1Tim",5,0,"",75,"1:12|2:15|3:16|4:8|5:24"
15,55,"2 Timotheus","2Tim",4,0,"",56,"1:18|2:6|3:16|4:16"
16,56,"Titus","Tit",2,0,"",9,"1:8|2:1"
17,57,"Philemon","Phim",1,0,"",13,"1:13"
