"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,45,"Römer","Röm",5,0,"",42,"11:4|12:10|13:5|14:12|15:11"
1,46,"1 Korinther","1Kor",2,0,"",24,"15:11|16:13"
2,47,"2 Korinther","2Kor",13,1,"5:1",255,"1:24|2:17|3:18|4:18|5:20|6:18|7:16|8:24|9:15|10:18|11:33|12:21|13:13"
3,48,"Galater","Gal",5,0,"",86,"1:12|2:17|4:13|5:26|6:18"
4,49,"Epheser","Eph",6,0,"",116,"1:23|2:22|3:21|4:22|5:11|6:17"
5,50,"Philipper","Phil",4,0,"",72,"1:17|2:17|3:21|4:17"
6,51,"Kolosser","Kol",4,0,"",81,"1:24|2:13|3:25|4:19"
7,52,"1 Thessalonicher","1Thes",4,0,"",70,"2:11|3:13|4:18|5:28"
8,53,"2 Thessalonicher","2Thes",3,0,"",27,"1:6|2:3|3:18"
9,54,"1 Timotheus","1Tim",5,0,"",82,"1:20|2:15|4:16|5:15|6:16"
10,55,"2 Timotheus","2Tim",4,0,"",67,"1:14|2:26|3:16|4:11"
11,56,"Titus","Tit",1,0,"",10,"1:10"
