"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mózes","1Móz"
1,2,"2 Mózes","2Móz"
2,3,"3 Mózes","3Móz"
3,4,"4 Mózes","4Móz"
4,5,"5 Mózes","5Móz"
5,6,"Józsué","Józs"
6,7,"Bírák","Bír"
7,8,"Ruth","Ruth"
8,9,"1 Sámuel","1Sám"
9,10,"2 Sámuel","2Sám"
10,11,"1 Királyok","1Kir"
11,12,"2 Királyok","2Kir"
12,13,"1 Krónikák","1Krón"
13,14,"2 Krónika","2Krón"
14,15,"Ezsdrás","Ezsd"
15,16,"Nehemiás","Neh"
16,17,"Eszter","Eszt"
17,18,"Jób","Jób"
18,19,"Zsoltárok","Zsolt"
19,20,"Példabeszédek","Péld"
20,21,"Prédikátor","Préd"
21,22,"Énekek éneke","Énekek"
22,23,"Ézsaiás","Ézs"
23,24,"Jeremiás","Jer"
24,25,"Jeremiás siralmai","JSir"
25,26,"Ezékiel","Ez"
26,27,"Dániel","Dán"
27,28,"Hóseás","Hós"
28,29,"Jóel","Jóel"
29,30,"Ámósz","Ám"
30,31,"Abdiás","Abd"
31,32,"Jónás","Jón"
32,33,"Mikeás","Mik"
33,34,"Náhum","Náh"
34,35,"Habakuk","Hab"
35,36,"Zofóniás","Zof"
36,37,"Haggeus","Hag"
37,38,"Zakariás","Zak"
38,39,"Malakiás","Mal"
39,40,"Máté","Mt"
40,41,"Márk","Mk"
41,42,"Lukács","Luk"
42,43,"János","Ján"
43,44,"Apostolok cselekedetei","ApCsel"
44,45,"Rómaiakhoz","Róm"
45,46,"1 Korintusi","1Kor"
46,47,"2 Korintusi","2Kor"
47,48,"Galatákhoz","Gal"
48,49,"Efézusiakhoz","Ef"
49,50,"Filippiekhez","Fil"
50,51,"Kolosséiakhoz","Kol"
51,52,"1 Thesszalonika","1Thessz"
52,53,"2 Thesszalonika","2Thessz"
53,54,"1 Timóteushoz","1Tim"
54,55,"2 Timóteushoz","2Tim"
55,56,"Tituszhoz","Tit"
56,57,"Filemonhoz","Filem"
57,58,"Zsidókhoz","Zsid"
58,59,"Jakab","Jak"
59,60,"1 Péter","1Pét"
60,61,"2 Péter","2Pét"
61,62,"1 János","1Ján"
62,63,"2 János","2Ján"
63,64,"3 János","3Ján"
64,65,"Júdás","Júd"
65,66,"Jelenések","Jel"
