"Index","BookNumber","BookName","BookShortName"
0,1,"Genesi","Gn"
1,2,"Esodo","Es"
2,3,"Levitico","Lv"
3,4,"Numeri","Nm"
4,5,"Deuteronomio","Dt"
5,6,"Giosuè","Gs"
6,7,"Giudici","Gdc"
7,8,"Rut","Rt"
8,9,"1 Samuele","1Sam"
9,10,"2 Samuele","2Sam"
10,11,"1 Re","1Re"
11,12,"2 Re","2re"
12,13,"1 Cronache","1Cr"
13,14,"2 Cronache","2Cr"
14,15,"Esdra","Esd"
15,16,"Neemia","Ne"
16,17,"Ester","Est"
17,18,"Giobbe","Gb"
18,19,"Salmi","Sal"
19,20,"Proverbi","Pro"
20,21,"Ecclesiaste","Qo"
21,22,"Cantico dei Cantici","Ct"
22,23,"Isaia","Is"
23,24,"Geremia","Ger"
24,25,"Lamentazioni","Lam"
25,26,"Ezechiele","Ez"
26,27,"Daniele","Dn"
27,28,"Osea","Os"
28,29,"Gioele","Gl"
29,30,"Amos","Am"
30,31,"Abdia","Abd"
31,32,"Giona","Gio"
32,33,"Michea","Mic"
33,34,"Nahum","Na"
34,35,"Abacuc","Ab"
35,36,"Sofonia","Sof"
36,37,"Aggeo","Ag"
37,38,"Zaccaria","Zc"
38,39,"Malachia","Ml"
39,40,"Matteo","Mt"
40,41,"Marco","Mc"
41,42,"Luca","Lc"
42,43,"Giovanni","Gv"
43,44,"Atti","At"
44,45,"Romani","Rm"
45,46,"1 Corinzi","1Cor"
46,47,"2 Corinzi","2Cor"
47,48,"Galati","Gal"
48,49,"Efesini","Ef"
49,50,"Filippesi","Fil"
50,51,"Colossesi","Col"
51,52,"1 Tessalonicesi","1Ts"
52,53,"2 Tessalonicesi","2Ts"
53,54,"1 Timoteo","1Tm"
54,55,"2 Timoteo","2Tm"
55,56,"Tito","Tt"
56,57,"Filemone","Fm"
57,58,"Ebrei","Eb"
58,59,"Giacomo","Gc"
59,60,"1 Pietro","1Pt"
60,61,"2 Pietro","2Pt"
61,62,"1 Giovanni","1Gv"
62,63,"2 Giovanni","2Gv"
63,64,"3 Giovanni","3Gv"
64,65,"Giuda","Gd"
65,66,"Apocalisse","Ap"
