"Index","BookNumber","BookName","BookShortName"
0,1,"1 Mose","1Mo"
1,2,"2 Mose","2Mo"
2,3,"3 Mose","3Mo"
3,4,"4 Mose","4Mo"
4,5,"5 Mose","5Mo"
5,6,"Josua","Jos"
6,7,"Richter","Ri"
7,8,"Rut","Rt"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Könige","1Kö"
11,12,"2 Könige","2Kö"
12,67,"Judit","Jdt"
13,13,"1 Chronik","1Chr"
14,14,"2 Chronik","2Chr"
15,15,"Esra","Esr"
16,16,"Nehemia","Neh"
17,69,"Tobia","Tob"
18,17,"Ester","Est"
19,18,"Hiob","Hi"
20,20,"Sprüche","Spr"
21,21,"Prediger","Pred"
22,22,"Hohelied","Hl"
23,68,"Weisheit","Weish"
24,70,"Sirach","Sir"
25,23,"Jesaja","Jes"
26,24,"Jeremia","Jer"
27,25,"Klagelieder","Kla"
28,71,"Baruch","Bar"
29,26,"Hesekiel","Hes"
30,27,"Daniel","Dan"
31,28,"Hosea","Hos"
32,29,"Joel","Joe"
33,30,"Amos","Am"
34,31,"Obadja","Ob"
35,32,"Jona","Jon"
36,33,"Micha","Mi"
37,34,"Nahum","Nah"
38,35,"Habakuk","Hab"
39,36,"Zephanja","Zeph"
40,37,"Haggai","Haggai"
41,38,"Sacharja","Sach"
42,39,"Maleachi","Mal"
43,76,"Manasse","Man"
44,72,"1 Makkabäer","1Makk"
45,73,"2 Makkabäer","2Makk"
46,80,"",""
47,81,"",""
48,40,"Matthäus","Mt"
49,41,"Markus","Mk"
50,42,"Lukas","Lk"
51,43,"Johannes","Joh"
52,44,"Apostelgeschichte","Apg"
53,45,"Römer","Röm"
54,46,"1 Korinther","1Kor"
55,47,"2 Korinther","2Kor"
56,48,"Galater","Gal"
57,49,"Epheser","Eph"
58,50,"Philipper","Phil"
59,51,"Kolosser","Kol"
60,52,"1 Thessalonicher","1Thes"
61,53,"2 Thessalonicher","2Thes"
62,54,"1 Timotheus","1Tim"
63,55,"2 Timotheus","2Tim"
64,56,"Titus","Tit"
65,57,"Philemon","Phim"
66,58,"Hebräer","Hebr"
67,59,"Jakobus","Jak"
68,60,"1 Petrus","1Petr"
69,61,"2 Petrus","2Petr"
70,62,"1 Johannes","1Jo"
71,63,"2 Johannes","2Jo"
72,64,"3 Johannes","3Jo"
73,65,"Judas","Jud"
74,66,"Offenbarung","Offb"
75,84,"",""
