"Index","BookNumber","BookName","BookShortName"
0,46,"1 Korinther","1Kor"
1,62,"1 Johannes","1Jo"
2,72,"1 Makkabäer","1Makk"
3,13,"1 Chronik","1Chr"
4,60,"1 Petrus","1Petr"
5,9,"1 Samuel","1Sam"
6,52,"1 Thessalonicher","1Thes"
7,54,"1 Timotheus","1Tim"
8,47,"2 Korinther","2Kor"
9,63,"2 Johannes","2Jo"
10,73,"2 Makkabäer","2Makk"
11,14,"2 Chronik","2Chr"
12,61,"2 Petrus","2Petr"
13,10,"2 Samuel","2Sam"
14,53,"2 Thessalonicher","2Thes"
15,55,"2 Timotheus","2Tim"
16,64,"3 Johannes","3Jo"
17,11,"1 Könige","1Kö"
18,12,"2 Könige","2Kö"
19,31,"Obadja","Ob"
20,44,"Apostelgeschichte","Apg"
21,37,"Haggai","Hagg"
22,30,"Amos","Am"
23,66,"Offenbarung","Offb"
24,71,"Baruch","Bar"
25,51,"Kolosser","Kol"
26,22,"Hohelied","Hl"
27,27,"Daniel","Dan"
28,5,"5 Mose","5Mo"
29,21,"Prediger","Pred"
30,49,"Epheser","Eph"
31,15,"Esra","Esr"
32,17,"Ester","Est"
33,2,"2 Mose","2Mo"
34,26,"Hesekiel","Hes"
35,48,"Galater","Gal"
36,1,"1 Mose","1Mo"
37,35,"Habakuk","Hab"
38,58,"Hebräer","Heb"
39,23,"Jesaja","Jes"
40,59,"Jakobus","Jak"
41,7,"Richter","Ri"
42,67,"Judit","Jdt"
43,43,"Johannes","Joh"
44,18,"Hiob","Hi"
45,29,"Joel","Joe"
46,32,"Jona","Jon"
47,6,"Josua","Jos"
48,24,"Jeremia","Jer"
49,65,"Judas","Jud"
50,25,"Klagelieder","Kla"
51,42,"Lukas","Lk"
52,3,"3 Mose","3Mo"
53,39,"Maleachi","Mal"
54,41,"Markus","Mk"
55,33,"Micha","Mi"
56,40,"Matthäus","Mt"
57,34,"Nahum","Nah"
58,16,"Nehemia","Neh"
59,4,"4 Mose","4Mo"
60,28,"Hosea","Hos"
61,57,"Philemon","Phim"
62,50,"Philipper","Phil"
63,20,"Sprüche","Spr"
64,19,"Psalm","Ps"
65,8,"Rut","Rt"
66,68,"Weisheit","Weish"
67,70,"Sirach","Sir"
68,36,"Zephanja","Zeph"
69,56,"Titus","Tit"
70,69,"Tobia","Tob"
71,38,"Sacharja","Sach"
72,45,"Römer","Rom"
