"Index","BookNumber","BookName","BookShortName"
0,19,"Psalm","Ps"
1,40,"Matäus","40"
2,41,"Markus","41"
3,42,"Lukas","42"
4,43,"Jehaun","43"
5,44,"Apostel","44"
6,45,"Reema","45"
7,46,"1 Korinta","46"
8,47,"2 Korinta","47"
9,48,"Galata","48"
10,49,"Efeesa","49"
11,50,"Filippa ","50"
12,51,"Kolossa","51"
13,52,"1 Tessalonicha","52"
14,53,"2 Tessalonicha","53"
15,54,"1 Timotäus","54"
16,55,"2 Timotäus","55"
17,56,"Tietus","56"
18,57,"Filemon","57"
19,58,"Hebräa","58"
20,59,"Jakobus","59"
21,60,"1 Petrus","60"
22,61,"2 Petrus","61"
23,62,"1 Jehaun","62"
24,63,"2 Jehaun","63"
25,64,"3 Jehaun","64"
26,65,"Judas","65"
27,66,"Openboarunk","66"
