"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,19,"Psalm","Ps",150,0,"",2528,"1:6|2:12|3:9|4:9|5:13|6:11|7:18|8:10|9:21|10:18|11:7|12:9|13:7|14:7|15:5|16:11|17:15|18:51|19:15|20:10|21:14|22:32|23:6|24:10|25:22|26:12|27:14|28:9|29:11|30:13|31:25|32:11|33:22|34:23|35:28|36:13|37:40|38:23|39:14|40:18|41:14|42:12|43:5|44:27|45:18|46:12|47:10|48:15|49:21|50:23|51:21|52:11|53:7|54:9|55:24|56:14|57:12|58:12|59:18|60:14|61:9|62:13|63:12|64:11|65:14|66:20|67:8|68:36|69:37|70:6|71:24|72:20|73:28|74:23|75:11|76:13|77:21|78:72|79:13|80:20|81:17|82:8|83:19|84:13|85:14|86:17|87:7|88:19|89:53|90:17|91:16|92:16|93:5|94:23|95:11|96:13|97:12|98:9|99:9|100:5|101:8|102:29|103:22|104:35|105:45|106:48|107:43|108:14|109:31|110:7|111:10|112:10|113:9|114:8|115:18|116:19|117:2|118:29|119:176|120:7|121:8|122:9|123:4|124:8|125:5|126:6|127:5|128:6|129:8|130:8|131:3|132:18|133:3|134:3|135:21|136:26|137:9|138:8|139:24|140:14|141:10|142:8|143:12|144:15|145:21|146:10|147:20|148:14|149:9|150:6"
1,40,"Matäus","40",28,0,"",1071,"1:25|2:23|3:17|4:25|5:48|6:34|7:29|8:34|9:38|10:42|11:30|12:50|13:58|14:36|15:39|16:28|17:27|18:35|19:30|20:34|21:46|22:46|23:39|24:51|25:46|26:75|27:66|28:20"
2,41,"Markus","41",16,0,"",678,"1:45|2:28|3:35|4:41|5:43|6:56|7:37|8:38|9:50|10:52|11:33|12:44|13:37|14:72|15:47|16:20"
3,42,"Lukas","42",24,0,"",1151,"1:80|2:52|3:38|4:44|5:39|6:49|7:50|8:56|9:62|10:42|11:54|12:59|13:35|14:35|15:32|16:31|17:37|18:43|19:48|20:47|21:38|22:71|23:56|24:53"
4,43,"Jehaun","43",21,0,"",879,"1:51|2:25|3:36|4:54|5:47|6:71|7:53|8:59|9:41|10:42|11:57|12:50|13:38|14:31|15:27|16:33|17:26|18:40|19:42|20:31|21:25"
5,44,"Apostel","44",28,0,"",1006,"1:26|2:47|3:26|4:37|5:42|6:15|7:60|8:40|9:43|10:48|11:30|12:25|13:52|14:28|15:41|16:40|17:34|18:28|19:40|20:38|21:40|22:30|23:35|24:27|25:27|26:32|27:44|28:31"
6,45,"Reema","45",16,0,"",433,"1:32|2:29|3:31|4:25|5:21|6:23|7:25|8:39|9:33|10:21|11:36|12:21|13:14|14:23|15:33|16:27"
7,46,"1 Korinta","46",16,0,"",437,"1:31|2:16|3:23|4:21|5:13|6:20|7:40|8:13|9:27|10:33|11:34|12:31|13:13|14:40|15:58|16:24"
8,47,"2 Korinta","47",13,0,"",256,"1:24|2:17|3:18|4:18|5:21|6:18|7:16|8:24|9:15|10:18|11:33|12:21|13:13"
9,48,"Galata","48",6,0,"",149,"1:24|2:21|3:29|4:31|5:26|6:18"
10,49,"Efeesa","49",6,0,"",155,"1:23|2:22|3:21|4:32|5:33|6:24"
11,50,"Filippa ","50",4,0,"",104,"1:30|2:30|3:21|4:23"
12,51,"Kolossa","51",4,0,"",95,"1:29|2:23|3:25|4:18"
13,52,"1 Tessalonicha","52",5,0,"",89,"1:10|2:20|3:13|4:18|5:28"
14,53,"2 Tessalonicha","53",3,0,"",47,"1:12|2:17|3:18"
15,54,"1 Timotäus","54",6,0,"",113,"1:20|2:15|3:16|4:16|5:25|6:21"
16,55,"2 Timotäus","55",4,0,"",83,"1:18|2:26|3:17|4:22"
17,56,"Tietus","56",3,0,"",46,"1:16|2:15|3:15"
18,57,"Filemon","57",1,0,"",25,"1:25"
19,58,"Hebräa","58",13,0,"",303,"1:14|2:18|3:19|4:16|5:14|6:20|7:28|8:13|9:28|10:39|11:40|12:29|13:25"
20,59,"Jakobus","59",5,0,"",108,"1:27|2:26|3:18|4:17|5:20"
21,60,"1 Petrus","60",5,0,"",105,"1:25|2:25|3:22|4:19|5:14"
22,61,"2 Petrus","61",3,0,"",61,"1:21|2:22|3:18"
23,62,"1 Jehaun","62",5,0,"",105,"1:10|2:29|3:24|4:21|5:21"
24,63,"2 Jehaun","63",1,0,"",13,"1:13"
25,64,"3 Jehaun","64",1,0,"",15,"1:15"
26,65,"Judas","65",1,0,"",25,"1:25"
27,66,"Openboarunk","66",22,0,"",405,"1:20|2:29|3:22|4:11|5:14|6:17|7:17|8:13|9:21|10:11|11:19|12:18|13:18|14:20|15:8|16:21|17:18|18:24|19:21|20:15|21:27|22:21"
