"Index","BookNumber","BookName","BookShortName"
0,40,"Mataeus","Mt"
1,41,"Markus","Mk"
2,42,"Lukas","Lk"
3,43,"Jehaun","Joh"
4,44,"Apostel","Apg"
5,45,"Reema","Rom"
6,46,"1 Korinta","1Kor"
7,47,"2 Korinta","2Kor"
8,48,"Galata","Gal"
9,49,"Efeesa","Eph"
10,50,"Filipa","Phil"
11,51,"Kollossa","Kol"
12,52,"1 Tesaloon","1Thes"
13,53,"2  Tesaloon","2Thes"
14,54,"1 Timotaeaus","1Tim"
15,55,"2 Timotaeaus","2Tim"
16,56,"Tietus","Tit"
17,57,"Filemon","Phim"
18,58,"Hebraea","Heb"
19,59,"Jakoobus","Jak"
20,60,"1 Peetrus","1Petr"
21,61,"2 Peetrus","2Petr"
22,62,"1 Jehaun","1Jo"
23,63,"2 Jehaun","2Jo"
24,64,"3 Jehaun","3Jo"
25,65,"Judas","Jud"
26,66,"Oppenboa","Offb"
