"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,3,"Leviticus","Lev"
2,4,"Numbers","Num"
3,11,"1 Kings","1Ki"
4,18,"Job","Job"
5,21,"Ecclesiastes","Ecc"
6,22,"Song of Solomon","Son"
7,24,"Jeremiah","Jer"
8,2,"Exodus","Exo"
9,9,"1 Samuel","1Sa"
10,13,"1 Chronicles","1Ch"
11,19,"Psalm","Psa"
12,23,"Isaiah","Isa"
13,26,"Ezekiel","Eze"
14,41,"Mark","Mar"
15,5,"Deuteronomy","Deu"
16,6,"Joshua","Jos"
17,7,"Judges","Jdg"
18,8,"Ruth","Rth"
19,10,"2 Samuel","2Sa"
20,12,"2 Kings","2Ki"
21,14,"2 Chronicles","2Ch"
22,15,"Ezra","Ezr"
23,16,"Nehemiah","Neh"
24,17,"Esther","Est"
25,20,"Proverbs","Pro"
26,28,"Hosea","Hos"
27,29,"Joel","Joe"
28,33,"Micah","Mic"
29,34,"Nahum","Nah"
30,38,"Zechariah","Zec"
31,39,"Malachi","Mal"
32,40,"Matthew","Mat"
33,25,"Lamentations","Lam"
34,27,"Daniel","Dan"
35,30,"Amos","Amo"
36,31,"Obadiah","Oba"
37,32,"Jonah","Jon"
38,35,"Habakkuk","Hab"
39,36,"Zephaniah","Zep"
40,37,"Haggai","Hag"
41,42,"Luke","Luk"
42,43,"John","Joh"
43,44,"Acts","Act"
44,45,"Romans","Rom"
45,46,"1 Corinthians","1Co"
46,47,"2 Corinthians","2Co"
47,48,"Galatians","Gal"
48,49,"Ephesians","Eph"
49,50,"Philippians","Php"
50,51,"Colossians","Col"
51,52,"1 Thessalonians","1Th"
52,53,"2 Thessalonians","2Th"
53,54,"1 Timothy","1Ti"
54,55,"2 Timothy","2Ti"
55,56,"Titus","Tit"
56,57,"Philemon","Phm"
57,58,"Hebrews","Heb"
58,59,"James","Jas"
59,60,"1 Peter","1Pe"
60,61,"2 Peter","2Pe"
61,62,"1 John","1Jn"
62,63,"2 John","2Jn"
63,64,"3 John","3Jn"
64,65,"Jude","Jud"
65,66,"Revelation","Rev"
