"Index","BookNumber","BookName","BookShortName"
0,1,"Génesis","Gn"
1,2,"Éxodo","Ex"
2,3,"Levítico","Lv"
3,4,"Números","Nm"
4,5,"Deuteronomio","Dt"
5,6,"Josué","Jos"
6,7,"Jueces","Jue"
7,8,"Rut","Rut"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Reyes","1Re"
11,12,"2 Reyes","2Re"
12,13,"1 Crónicas","1Cr"
13,14,"2 Crónicas","2Cr"
14,15,"Esdras","Esd"
15,16,"Nehemías","Ne"
16,17,"Ester","Ne"
17,18,"Job","Job"
18,19,"Salmos","Sl"
19,20,"Proverbios","Pr"
20,21,"Eclesiastés","Qo"
21,22,"Cantares","Ct"
22,23,"Isaías","Is"
23,24,"Jeremías","Ger"
24,25,"Lamentaciones","Lam"
25,26,"Ezequiel","Ez"
26,27,"Daniel","Dn"
27,28,"Oseas","Os"
28,29,"Joel","Jl"
29,30,"Amós","Am"
30,31,"Abdías","Ab"
31,32,"Jonás","Jon"
32,33,"Miqueas","Mi"
33,34,"Nahúm","Na"
34,35,"Habacuc","Ha"
35,36,"Sofonías","So"
36,37,"Hageo","Ag"
37,38,"Zacarías","Za"
38,39,"Malaquías","Ml"
39,40,"Mateo","Mt"
40,41,"Marcos","Mc"
41,42,"Lucas","Lc"
42,43,"Juan","Jn"
43,44,"Hechos","He"
44,45,"Romanos","Ro"
45,46,"1 Corintios","1Cor"
46,47,"2 Corintios","2Cor"
47,48,"Gálatas","Ga"
48,49,"Efesios","Ef"
49,50,"Filipenses","Flp"
50,51,"Colosenses","Col"
51,52,"1 Tesalonicenses","1Te"
52,53,"2 Tesalonicenses","2Te"
53,54,"1 Timoteo","1Tim"
54,55,"2 Timoteo","2Tim"
55,56,"Tito","Tit"
56,57,"Filemón","Flm"
57,58,"Hebreos","Heb"
58,59,"Santiago","Sant"
59,60,"1 Pedro","1Pe"
60,61,"2 Pedro","2Pe"
61,62,"1 Juan","1Jn"
62,63,"2 Juan","2Jn"
63,64,"3 Juan","3Jn"
64,65,"Judas","Jds"
65,66,"Apocalipsis","Ap"
