"Index","BookNumber","BookName","BookShortName"
0,40,"Matthäus","Mt"
1,41,"Markus","Mk"
2,42,"Lukas","Lk"
3,43,"Johannes","Joh"
4,44,"Apostelgeschichte","Apg"
5,45,"Römer","Röm"
6,46,"1 Korinther","1Kor"
7,47,"2 Korinther","2Kor"
8,48,"Galater","Gal"
9,49,"Epheser","Eph"
10,51,"Kolosser","Kol"
11,52,"1 Thessalonicher","1Thes"
12,53,"2 Thessalonicher","2Thes"
13,54,"1 Timotheus","1Tim"
14,55,"2 Timotheus","2Tim"
15,56,"Titus","Tit"
16,57,"Philemon","Phim"
17,58,"Hebräer","Hebr"
18,59,"Jakobus","Jak"
19,60,"1 Petrus","1Petr"
20,61,"2 Petrus","2Petr"
21,62,"1 Johannes","1Jo"
22,63,"2 Johannes","2Jo"
23,64,"3 Johannes","3Jo"
24,65,"Judas","Jud"
25,66,"Offenbarung","Offb"
