"DownloadUrl","FilePath","FileName","MD5-Hash","IsValidXml","ZefaniaXmlSchemaVersion","ZefaniaBibleName","ZefaniaBibleFreeToEditLicenseType","ZefaniaBibleStatus","ZefaniaBibleVersion","ZefaniaBibleRevision","ZefaniaBibleType","ZefaniaBibleInfoTitle","ZefaniaBibleInfoIdentifier","ZefaniaBibleInfoCoverage","ZefaniaBibleInfoCreator","ZefaniaBibleInfoDate","ZefaniaBibleInfoDescription","ZefaniaBibleInfoFormat","ZefaniaBibleInfoLanguage","ZefaniaBibleInfoPublisher","ZefaniaBibleInfoRights","ZefaniaBibleInfoSources","ZefaniaBibleInfoSubject","ZefaniaBibleInfoType","BibleReJewishedLevel","Warnings"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/AFR/1933/1953%20Afrikaans%20Bybel/SF_2009-01-20_AFR_AFR3353_(1933_1953%20AFRIKAANS%20BYBEL).xml",".\AFR\1933\1953 Afrikaans Bybel\SF_2009-01-20_AFR_AFR3353_(1933_1953 AFRIKAANS BYBEL).xml","SF_2009-01-20_AFR_AFR3353_(1933_1953 AFRIKAANS BYBEL).xml","B6BB8561510412E995A09FFD318E4347","HasErrors","zef2005.xsd","1933/1953 Afrikaans Bybel","None","v","2.0.1.18","0","x-bible","1933_1953 Afrikaans Bybel","AFR3353","","Kumba Kimba","2009-01-20","This copyright Bible has kindly been made available by the Bible Society of South Africa, strictly for non-commercial use .","Zefania XML Bible Markup Language","AFR","ScienceDay","",,"holy bible","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/ALB/Albanian%20Version/SF_2009-01-20_ALB_ALB1_(ALBANIAN%20VERSION).xml",".\ALB\Albanian Version\SF_2009-01-20_ALB_ALB1_(ALBANIAN VERSION).xml","SF_2009-01-20_ALB_ALB1_(ALBANIAN VERSION).xml","46E7919CF45D8EB3405BBDAF4A933434","HasErrors","zef2005.xsd","Albanian Version","None","v","2.0.1.18","0","x-bible","Albanian Version","ALB1","provide the bible to the world","","2009-01-20","Albanian","Zefania XML Bible Markup Language","ALB","Free Bible Software Group","",,"The Holy Bibe","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/ARA/New%20Arabic%20Version%20(Ketab%20El%20Hayat)/SF_2012-01-07_ARA_ARANAV_(NEW%20ARABIC%20VERSION%20(KETAB%20EL%20HAYAT)).xml",".\ARA\New Arabic Version (Ketab El Hayat)\SF_2012-01-07_ARA_ARANAV_(NEW ARABIC VERSION (KETAB EL HAYAT)).xml","SF_2012-01-07_ARA_ARANAV_(NEW ARABIC VERSION (KETAB EL HAYAT)).xml","CB1D3D989910597217D94DB69D3AC6F6","HasErrors","zef2005.xsd","New Arabic Version (Ketab El Hayat)","None","v","3.0.0.00","0","x-bible","New Arabic Version (Ketab El Hayat)","ARANAV","provide the bible to the nations of the world","Mod2Zef (6)","2012-01-07","Holy Bible, New Arabic Version (Ketab El Hayat)","Zefania XML Bible Markup Language","ARA","","",,"","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/ARA/Smith%20Van%20Dyke%20Arabic%20Bible/SF_2009-01-20_ARA_ARASVD_(SMITH%20VAN%20DYKE%20ARABIC%20BIBLE).xml",".\ARA\Smith Van Dyke Arabic Bible\SF_2009-01-20_ARA_ARASVD_(SMITH VAN DYKE ARABIC BIBLE).xml","SF_2009-01-20_ARA_ARASVD_(SMITH VAN DYKE ARABIC BIBLE).xml","15DD0EC6370B827012F67B10B8447774","HasErrors","zef2005.xsd","Smith Van Dyke Arabic Bible","None","v","2.0.1.18","0","x-bible","Smith Van Dyke Arabic Bible","ARASVD","provide the bible to the world","","2009-01-20","This is the most popular and widely used translation
among Arabic Christians in the Middle East and across the world.","Zefania XML Bible Markup Language","ARA","Free Bible Software Group","",,"The holy Bible","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
Book number 15 identified as duplicate for book index 14
Invalid characters in book name 1 K?nige for book index 10
Invalid characters in book name 2 K?nige for book index 11
..."
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/BAQ/Basque(Navarro-Labourdin)NT/SF_2009-01-20_BAQ_BASQ1571_(BASQUE(NAVARRO-LABOURDIN)NT).xml",".\BAQ\Basque(Navarro-Labourdin)NT\SF_2009-01-20_BAQ_BASQ1571_(BASQUE(NAVARRO-LABOURDIN)NT).xml","SF_2009-01-20_BAQ_BASQ1571_(BASQUE(NAVARRO-LABOURDIN)NT).xml","73F513ABEF99AFA6CC6E3EA196DFE678","HasErrors","zef2005.xsd","Basque(Navarro-Labourdin)NT","None","v","2.0.1.18","0","x-bible","Basque(Navarro-Labourdin)NT","BASQ1571","provide the bible to the world","","2009-01-20","New Testament in the Basque Language (Navarro-Labourdin) Translated, and published on August 22, 1571, by Pierre Hautin. ","Zefania XML Bible Markup Language","BAQ","FreeBibleSoftwarGroup","",,"holy bible","bible text","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/BUL/Bulgarian%20NT%201914/SF_2009-03-26_BUL_BULCARIGRADNT_(BULGARIAN%20NEW%20TESTAMENT%20FROM%201914,%20KNOWN%20AS%20'TSARIGRAD%20EDITION').xml",".\BUL\Bulgarian NT 1914\SF_2009-03-26_BUL_BULCARIGRADNT_(BULGARIAN NEW TESTAMENT FROM 1914, KNOWN AS 'TSARIGRAD EDITION').xml","SF_2009-03-26_BUL_BULCARIGRADNT_(BULGARIAN NEW TESTAMENT FROM 1914, KNOWN AS 'TSARIGRAD EDITION').xml","23014F48A6D58B405DD41DE2FCA9CEA2","HasErrors","zef2005.xsd","Bulgarian New Testament from 1914, known as 'Tsarigrad Edition'","None","v","2.0.1.22","0","x-bible","Bulgarian New Testament from 1914, known as 'Tsarigrad Edition'","BULCARIGRADNT","provide the bible to the nations of the world","The mod2zef tool","2009-03-26","This is an old translation of the New Testament, originaly published in 1914. This translation is now known as the ""Tsarigrad Edition"". Copyright by the youth group of the Church of God in Sofia, 1997. Permission for distribution granted by Ventsislav Stoykov (ven_stoikov@mail.bg).","Zefania XML Bible Markup Language","BUL","","",,"","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/BUL/Verens%20Contemporary%20Bible/SF_2010-01-10_BUL_BULVEREN_(VEREN'S%20CONTEMPORARY%20BIBLE).xml",".\BUL\Verens Contemporary Bible\SF_2010-01-10_BUL_BULVEREN_(VEREN'S CONTEMPORARY BIBLE).xml","SF_2010-01-10_BUL_BULVEREN_(VEREN'S CONTEMPORARY BIBLE).xml","B21E12DA175306E32CB70944A1F2ED03","HasErrors","zef2005.xsd","Veren's Contemporary Bible","None","v","2.0.1.22","0","x-bible","Veren's Contemporary Bible","BULVEREN","provide the bible to the nations of the world","Mod2Zef (4)","2010-01-10","This is an updated version of the Bible, published by Konstantin Fotinov, Petko Slaveykov and Hristodul Sichan-Nikolov in 1871. This version is made by Veren LTD. All texts are collated with the originals. This module is part of the CDL Project. CDL Project aims to create an electronic library Bulgarian of biblical texts, commentaries and researches.","Zefania XML Bible Markup Language","BUL","","",,"","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/CEB/Cebuano%20Ang%20Biblia%20(Bugna%20Version)/SF_2009-01-20_CEB_CEB-B_(CEBUANO%20ANG%20BIBLIA%20(BUGNA%20VERSION)).xml",".\CEB\Cebuano Ang Biblia (Bugna Version)\SF_2009-01-20_CEB_CEB-B_(CEBUANO ANG BIBLIA (BUGNA VERSION)).xml","SF_2009-01-20_CEB_CEB-B_(CEBUANO ANG BIBLIA (BUGNA VERSION)).xml","763ECFBC02B8F2CE08983B8BCF8AFB57","HasErrors","zef2005.xsd","Cebuano Ang Biblia (Bugna Version)","None","v","2.0.1.18","1","x-bible","Cebuano Ang Biblia (Bugna Version)","CEB-B","provide the Bible to the world","Christian Wagner (http//www.lightinasia.org)","2009-01-20","Cebuano is the second most widely spoken native language of the Philippines. The complete Cebuano Bible was first published in 1917. This Bible is published today as the Ang Biblia, Cebuano by the Philippine Bible Society. Two separate versions are available: The 'Pinadayag' version contains a completely revised New Testament, the 'Bugna' version contains the original New Testament from 1917. Both versions share the same Old Testament text. The 'Bugna' designation is derived from the Cebuano name given to the book of Revelation. The New Testament text generally follows the same Greek Received Text, which was used as a basis for the King James Version. Because of its similarity with the KJV it is also called the Cebuano King James Version. [This file was created by combining the OT Text from the Cebuano Online Bible and the NT Text from the Cebuano AddBible. Comparison was made with the printed edition, resulting in some minor corrections. - Version 1.0.8]","Zefania XML Bible Markup Language","CEB","LIA","",,"Holy Bible","Bible","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
Book name not available for book index 0
Book name not available for book index 1
Book name not available for book index 2
Book name not available for book index 3
Book name ..."
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/CEB/Cebuano%20Ang%20Biblia%20(Pinadayag%20Version)/SF_2009-01-20_CEB_CEB-P_(CEBUANO%20ANG%20BIBLIA%20(PINADAYAG%20VERSION)).xml",".\CEB\Cebuano Ang Biblia (Pinadayag Version)\SF_2009-01-20_CEB_CEB-P_(CEBUANO ANG BIBLIA (PINADAYAG VERSION)).xml","SF_2009-01-20_CEB_CEB-P_(CEBUANO ANG BIBLIA (PINADAYAG VERSION)).xml","88FC71599F7D73C56D62C29FDABA34A4","HasErrors","zef2005.xsd","Cebuano Ang Biblia (Pinadayag Version)","None","v","2.0.1.18","1","x-bible","Cebuano Ang Biblia (Pinadayag Version)","CEB-P","provide the Bible to the world","Christian Wagner (http//www.lightinasia.org)","2009-01-20","Cebuano is the second most widely spoken native language of the Philippines. The complete Cebuano Bible was first published in 1917. This Bible is published today as the Ang Biblia, Cebuano by the Philippine Bible Society. Two separate versions are available: The 'Bugna' version contains the original New Testament from 1917. The 'Pinadayag' version contains a completely revised New Testament which follows a Critical Greek Text. Both versions share the same Old Testament text. The 'Pinadayag' designation is derived from the Cebuano name given to the book of Revelation. [Converted from Online Bible. Comparison was made with the printed edition, resulting in some minor corrections. - Version 1.0.8]","Zefania XML Bible Markup Language","CEB","LIA","",,"Holy Bible","Bible","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
Book name not available for book index 0
Book name not available for book index 1
Book name not available for book index 2
Book name not available for book index 3
Book name ..."
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Bibles/CHA/SF_2010-01-10_CHA_CHAMORRO_(CHAMORRO%20Y%20SANTA%20BIBLIA%20(1908)).xml",".\CHA\SF_2010-01-10_CHA_CHAMORRO_(CHAMORRO Y SANTA BIBLIA (1908)).xml","SF_2010-01-10_CHA_CHAMORRO_(CHAMORRO Y SANTA BIBLIA (1908)).xml","3AAA3FDBD6B3DF2A397CF435016AF2B6","HasErrors","zef2005.xsd","Chamorro: Y Santa Biblia (1908)","PublicDomainByExpiredCopyrightProtection","v","2.0.1.22","0","x-bible","Chamorro Y Santa Biblia (1908)","CHAMORRO","provide the bible to the nations of the world","Mod2Zef (4)","2010-01-10","History_1.5=February 28, 2004: Typo fixed in the ""About"" entry below.","Zefania XML Bible Markup Language","CHA","","",,"","","0","Der Typ 'MediaType' ist kein einfacher Typ oder wurde nicht deklariert.
"
